,cleaned_text,sentiment_label
1,purchased device worked advertised never much phone memory since download lot stuff brainer,0
2,works expected sprung higher capacity think made bit cheesier earlier versions paint looks clean,1
3,think worked greathad diff bran gb card went south monthsthis one held pretty well since note update ive months zero issues since transferred note note card reliable solidcheers,1
4,bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought retail packaging htc one sv lg optimus cards working order probably best price youll get nice sd card,1
5,mini storage doesnt anything else supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks,0
6,phone never skips beat file transfers speedy corruption issues memory fade issues would expect sandisk brand great card entrust precious files slightly cheaper piece crap lose everything forgive spending extra couple bucks trusted product goes good qa,1
7,hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation agoi picked portable music didnt want schlep risk phone ipod works great sd card readersselect confidence,1
8,works htc rezound running short space gb sandisk ordered came fast issues,0
9,galaxy super fast card totally happy happy still type fill required words though,1
10,like sd card take music video downloads personal videos filesdocs multimedia images fast transfer rate class speed take games large files easily still enough space apps great video cameras camcorders supplied adapter fits easily smartphones tablets sd card slots recommend gb sd card everyone,1
11,works file writes bit slower expected usb readeralso reads writes faster card inside standardsize sd adapter mbs vs write mbs vs mbs read card reader cant figure,0
12,name speaks go sandisk go,0
13,solid sdhc card fast reading writing fast recording video pics great capacity reasonably priced issues itoverall highly recommend,1
14,heard cards write speed insufficient however used extensively havent single problem,1
15,bought use go pro hero black edition requires class microsdxc card far ive issues fast readwrite came adapter small packaging thats needed comes nice hard plastic case keep dry together needed,1
16,got gb one filled kept getting insufficient disk space phone kids take phone selfies mostly daughter get bigger card gb one carry old phoneneedless say sweet plenty space dont delete pictures anymore well leastmy daughter loves selfies,1
17,class speed rating seamless full hd videothe sandisk ultra uhsi card features class uhs speed class u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis card retrieve stored data almost instantly thanks mbs read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi cards offer faster app loading smoother fluid app performancestorage capacities gbthis card plenty room accommodate full hd videos mps apps memoryintensive mobile files available sizes gb store apps music video wantandroid app easy file managementthe included sandisk memory zone app lets easily view access backup digital files phones memory additional memory card cloud service one convenient place using app easily move files card number cloud storage servicesdurable designsandisk ultra uhsi memory cards capture memories degrees fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card,1
18,read write speeds better samsung sd card previously would hesitate buy another one great micro sd cards sandisk also clip plus mp player works well think im becoming fan sandisk products,1
19,works nl video stuttering like gb blah blah blah blah fill rest,0
20,works expected high transfer speed nice extra microsd adapters lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view images larger screen,0
21,works great samsung galaxy formatted straight away full size cant really tell speed difference one slower card replaced guess io phone cant take advantage,1
22,sandisk never disappoints always sandisk products worth every penny nice product quality works great recommend product everyone,1
23,good price works flawless samsung normal sandisk quality go brand brand,1
24,san disk hard beat pay brand get quality product would purchase,0
25,installed blackberry q sqn formatted works fine plenty storage space pictures videos son park,1
26,received card class gb correct serialsdsdquagaa received unopened sandisk packaging going use htc rezound hope works read work reformatting disk update review issues using rating remain unchanged,1
27,stuck formatted settings works great already filled music pics videos get card format right youll problems phone wont right got samsung haha,1
28,purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meets needs,1
29,advertised specs match long device using handle ie usb crapple bs delivers advertised speed ps speed read write knew right,0
30,item great cant believe small imagine gb size back whole buildings full computers couldnt pack much space great item,1
31,ive trying get hold gb micro sd phone tablet pretty fast compared gb cards ive using really saw performance boost phone many apps pictures music documents phone boots fully stable mins apposed mins computer also write cards much faster gb ones using phone tablet device support recommend purchase also pay like half price using amazon opposed retail stores whos price least double ive seen cards going area,1
32,bought sandisk gb microsd used galaxy note galaxy sfirst one phone started saying removed recognize diedi thought luck plugged nd one stayed months died suddenly lost everythingnever buying sandisk ever,0
33,memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage,1
34,ive got couple varying sizes ive problems complaints speed always end buying prices low get,0
35,gigs memory note running room much memory space available dont know,0
36,bought surface pro ive months ive problems fast stable,0
37,would recommend card everyonedata transfer speeds excellent card galaxy didnt need format card anything satisfied,1
38,bougth micro sd card trubles got kingston tell sandisk quality best phone read gb fast dta transfer speed pc amazing looking additional storage phone music pictures type files youprosvery good quality materials constructionamazing speedupdate one year memory damaged delete put new files format memory tried format phone pc camera nothing like gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better products future total disagree buy samsung memory card expected better quality,1
39,using contout gps camera dont waste time buying brand waste buy best start,1
40,fantastic little drive gigabytes says works ways discern use hold flac recordings play excellent fiio x digital audio player real thing one fakes evidently,1
41,happy micro sd could tell difference response time bb curve well asus tablet want something transfer files photos videos music faster micro sd card say faster cards price trick devices professional photographer might want go ultra micro sd everyday user work wonders device,1
42,ive purchased several little babies years always buy sandisk ive never one fail price great amount storage get,1
43,ordered galaxy lasted months broke accessible several different pcssays limited lifetime warranty bs one month eco zone lose pictures crappy return policyin future buying kingston sandiskupdate amazon customer service made good refunded purchase price still buying sandisk memory cards however,0
44,like mbs note thats using sandisks app bit faster note ii still disappointment devices quad core processors sure card device benefit doubt four stars,1
45,much say plug play good quality fits lot video good good good,1
46,new camcorder required fast sd micro sandisk products always provided first class service extra cost well worth,1
47,tiny marvel claims possible problem small may lose happen drop handling gb capacity wont handling often,0
48,job price right came quickly im happy purchase would recommend would,1
49,used months phone decided quit mounting lost pictures pets died shortly got replacement card send old one giving chance recovering contents new ones worked fine failing months inexcusable,0
50,memory card either works doesnt always going one star five star review middle groundthe adapter nice bonus though dont think anything use,1
51,purchased card use contourroam works great put card camera format good go allows easily record hours pfps video without running space slowing,1
52,upgraded gb gb card galaxy note phone looks like works fine full capacity good product,1
53,everything great except adapter tight use tool take back adapter causing chip fault guess also bought gb version adapter one fine,1
54,liked first one purchased much bought second one fast read write speeds good price plus sandisk best software device compatibility forget thumb drives flexible durable option use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedy upgradeable thumb drive works great tablet newer card reader still kicks butt every thumb drive know even used old plastic usb card reader held together scotch tape lol purchased several microsd cards since first came gb gb still work fine say thumb drives purchased time periodone point beware counterfeits samsung number one brand unfortunately get counterfeited lot check reviews buy reliable seller suggest buying direct amazon memory mogul purchased issues,1
55,really cant say anything bad says super fast great storage size lots movies,1
56,used phone plenty fast works like unexpectedly comes mini full sd card size adapters nice foolproof packaging whatever laughable packaging decent shouldnt bragged impossible mess messed,1
57,standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper stores believe,1
58,ordered new samsung galaxy note ii works awesome installed problems loaded music didnt even scratch surface capacity card shouldnt ever worry running outta room card highly recommended smartphone user,1
59,great deal much faster file movementdefinitely worth purchase sandisk proved good products,1
60,youll pay anywhere else initially leery buying another sd card amazon years ago card fake said gigs plugged computer could load onto would say full apparently theres way fool computer thinking theres space fakecounterfeit cards donot one real deal genuine sandisk contains many gb says im pleased customer,0
61,use samsung galaxy almost year problems really expands memory capabilities easy enough install,1
62,gb storage new asus tablet whats love cant imagine paying model upgraded storage especially since usually like thing cheap works great,1
63,excellent quality excellent speed complaints easy use reliable red stripe front makes easy find crowded desk,1
64,card advertises uhs actually uhsthis means go sdr speedsthroughputnot necessary bad false advertising,0
65,purchase hp tablet memory music download pictures video enough room store memory left,0
66,anything wrong sandisk product items read sooooo quickly quite happy,1
67,lot people want big memory fine need look speed class one class great taking pictures video freeze move mbs fast enough lesser speed cards freeze say waiting camera miss moment also sandisk name trust come memory cards,1
68,fast transfer rates downloaded gb videos form card laptop card reader minute,0
69,something said sandisk plug works ive never one doa memory issues throughout years camera storage products installed galaxy siii recognized right away able dump music onto speed seems great well complaints,1
70,praise extra memory fills mp player every song heart desires sound quality perfect ease use superb great,1
71,though states gig gig available know happens expected keep mind wanting storage might want order gig card exactly expected needed complaints,0
72,job advertisedif need extra memory phonetablet whatever device bext buypricequality,0
73,needed cell phone works perfectly sandisk never disappointment plus years ive itcomputer work,1
74,priced right memory card also reads writes fast noticeable difference cheaper cards put phone plan buy another one tablet,0
75,works great sprint htc evo g lte formatted w fat course maximum file size gb meaning full length hidef movies however isnt problem bought card putting music library phonelike class microsdhc cards mbs closer class card ive ever tried mbs kingston gb mbs card mbscant wait till gb gb cards become available affordable,1
76,update gb card stopped allowing writes via cardreaders windows pceither inside several fullsize sd card adapters writeprotect tab either position plugged directly microsd slot reader microsd cards writeprotect tab quite surprised worried failing find workable solution searching online finally put chromebook created new folder stuck back windows pc longer gave writeprotect error anyone similar problem id recommend something similar putting pc laptop camera etc available try writing therethis portion review necessarily written update original review gb version card since amazon disallows multiple reviews consider item portion concerns gb version cardi dont need fast card speeds card important besides test pc exactly highend therefore didnt count speed results got using usb card adapter thought might relevant readers card reach class andor uhsi requirements came claimed read speeds mbs fast file transfer running second pc using different usb card reader none speeds even hit mbs seems highly systemdependenti got card week far works select sdxccompatible devices exfatcompatible operating systems sdxccompatible devices panasonic hdctm allow cards larger gb whatever reason stated manual ive confirmed card recognized brokencorruptunusable device whereas gb exfat cards work fine gb works fine original exfat formatting toshiba excite android tablet predictably nonsdxccompatible galaxy note though possibly would reformatted fat since gb card fat works fine thereill update review reflect problems issues etc notice coming days weekscrystaldiskmark c hiyohiyocrystal dew world url removed per amazon rules mbs bytes sata bytessequential read mbssequential write mbsrandom read kb mbsrandom write kb mbsrandom read kb qd mbs iopsrandom write kb qd mbs iopsrandom read kb qd mbs iopsrandom write kb qd mbs iopstest mb g gb xdate os windows xp professional sp build xthe following original review gb version card published april highquality card ive used variety devices multiple readers different pcs hd camcorder using micro fullsized sd adapter ive never problem even works full capacity microsdhconly devices reformatted fat sandisk clip flac player supposedly even psps via proper adapter though havent yet tested psp keep anticipating someone coming card equal better capacity speeds comparable price havent seen one yet cheaper id several nowmake sure device handle micro fullsized sdxc cards one rare gems state support high sdhc tested work sdxc cards one theyve manually reformatted fat,1
77,works great phone wife loves got second mom storing lots pictures videos,1
78,loaded card home movies samsung galaxy tab copy process computer card fast skips movie quality plenty room left go wish bought another collections,1
79,bought loaded seasons futurama full length hd movies several documentaries dozen minute comedy shows plenty room left pictures etconly slight nitpick booting recovery mode recognize card wanted update phone latest version android would see resort gb microsd laying around wasnt sd card issue thought would throw,1
